Created,Resolved,Date_Ending
95,72,02/01/2018
99,76,04/01/2018
103,77,05/01/2018
107,79,08/01/2018
111,81,09/01/2018
113,86,10/01/2018
115,87,11/01/2018
116,89,12/01/2018
119,92,15/01/2018
121,94,16/01/2018
123,99,17/01/2018
127,99,18/01/2018
132,100,19/01/2018
135,101,22/01/2018
136,103,23/01/2018
140,105,24/01/2018
145,105,25/01/2018
147,107,26/01/2018
151,108,29/01/2018
158,110,30/01/2018
161,112,31/01/2018
163,113,01/02/2018
168,115,02/02/2018
171,123,05/02/2018
174,126,06/02/2018
181,128,07/02/2018
183,128,08/02/2018
190,136,09/02/2018
191,136,11/02/2018
197,140,12/02/2018
200,141,13/02/2018
205,144,14/02/2018
208,147,15/02/2018
210,154,16/02/2018
213,157,19/02/2018
216,158,20/02/2018
221,160,21/02/2018
222,162,22/02/2018
227,165,23/02/2018
228,165,24/02/2018
229,168,26/02/2018
234,169,27/02/2018
235,175,28/02/2018
239,176,01/03/2018
241,176,02/03/2018
242,176,03/03/2018
243,176,04/03/2018
244,179,05/03/2018
249,181,06/03/2018
258,187,07/03/2018
264,191,08/03/2018
268,195,09/03/2018
272,196,12/03/2018
276,198,13/03/2018
282,200,14/03/2018
288,203,15/03/2018
295,207,16/03/2018
296,207,18/03/2018
299,210,19/03/2018
302,217,20/03/2018
307,219,21/03/2018
311,225,22/03/2018
315,228,23/03/2018
317,230,26/03/2018
327,232,27/03/2018
330,232,28/03/2018
337,234,29/03/2018
340,237,30/03/2018
341,238,02/04/2018
344,240,03/04/2018
349,243,04/04/2018
356,244,05/04/2018
363,249,06/04/2018
365,249,07/04/2018
371,250,09/04/2018
378,262,10/04/2018
389,266,11/04/2018
396,273,12/04/2018
397,274,13/04/2018
399,274,15/04/2018
405,277,16/04/2018
408,279,17/04/2018
413,281,18/04/2018
419,289,19/04/2018
426,290,20/04/2018
433,294,23/04/2018
443,304,24/04/2018
447,312,25/04/2018
456,320,26/04/2018
461,326,27/04/2018
462,327,28/04/2018
465,327,29/04/2018
466,330,30/04/2018
467,335,02/05/2018
471,337,03/05/2018
477,344,04/05/2018
479,345,06/05/2018
482,350,07/05/2018
489,360,08/05/2018
495,364,09/05/2018
501,366,10/05/2018
505,367,11/05/2018
506,373,14/05/2018
514,377,15/05/2018
525,390,16/05/2018
533,397,17/05/2018
536,411,18/05/2018
539,411,20/05/2018
548,412,21/05/2018
551,416,22/05/2018
560,428,23/05/2018
565,430,24/05/2018
569,435,25/05/2018
571,435,26/05/2018
573,436,27/05/2018
576,443,28/05/2018
583,450,29/05/2018
591,455,30/05/2018
593,458,31/05/2018
598,473,01/06/2018
601,480,04/06/2018
611,490,05/06/2018
621,494,06/06/2018
631,502,07/06/2018
638,512,08/06/2018
639,513,09/06/2018
640,513,10/06/2018
646,520,11/06/2018
653,532,12/06/2018
663,540,13/06/2018
667,546,14/06/2018
674,550,15/06/2018
675,551,16/06/2018
683,557,18/06/2018
692,568,19/06/2018
700,573,20/06/2018
705,582,21/06/2018
712,588,22/06/2018
721,592,25/06/2018
730,595,26/06/2018
739,605,27/06/2018
743,611,28/06/2018
753,615,29/06/2018
756,615,30/06/2018
757,615,01/07/2018
760,628,02/07/2018
767,630,03/07/2018
775,633,04/07/2018
780,640,05/07/2018
784,650,06/07/2018
787,652,07/07/2018
790,652,08/07/2018
794,654,09/07/2018
803,662,10/07/2018
811,666,11/07/2018
819,674,12/07/2018
822,682,13/07/2018
823,682,14/07/2018
834,688,16/07/2018
840,695,17/07/2018
851,698,18/07/2018
861,704,19/07/2018
869,710,20/07/2018
873,710,21/07/2018
875,710,22/07/2018
888,711,23/07/2018
896,717,24/07/2018
908,721,25/07/2018
922,728,26/07/2018
932,734,27/07/2018
937,738,28/07/2018
939,738,29/07/2018
948,744,30/07/2018
960,751,31/07/2018
975,759,01/08/2018
978,760,02/08/2018
992,763,03/08/2018
994,766,04/08/2018
995,769,05/08/2018
1005,780,06/08/2018
1026,793,07/08/2018
1040,810,08/08/2018
1059,820,09/08/2018
1068,834,10/08/2018
1075,839,11/08/2018
1081,842,12/08/2018
1094,863,13/08/2018
1112,888,14/08/2018
1119,893,15/08/2018
1137,912,16/08/2018
1156,925,17/08/2018
1163,929,18/08/2018
1168,932,19/08/2018
1183,950,20/08/2018
1208,972,21/08/2018
1225,993,22/08/2018
1253,1011,23/08/2018
1272,1029,24/08/2018
1281,1037,25/08/2018
1285,1043,26/08/2018
1300,1060,27/08/2018
1317,1079,28/08/2018
1333,1105,29/08/2018
1344,1118,30/08/2018
1363,1141,31/08/2018
1368,1142,01/09/2018
1370,1146,02/09/2018
1390,1157,03/09/2018
1409,1166,04/09/2018
1431,1187,05/09/2018
1453,1203,06/09/2018
1472,1218,07/09/2018
1480,1222,08/09/2018
1485,1228,09/09/2018
1501,1235,10/09/2018
1521,1252,11/09/2018
1555,1266,12/09/2018
1579,1277,13/09/2018
1593,1295,14/09/2018
1597,1300,15/09/2018
1598,1300,16/09/2018
1623,1328,17/09/2018
1649,1347,18/09/2018
1674,1363,19/09/2018
1704,1377,20/09/2018
1734,1396,21/09/2018
1748,1401,22/09/2018
1752,1403,23/09/2018
1763,1417,24/09/2018
1790,1436,25/09/2018
1819,1464,26/09/2018
1850,1488,27/09/2018
1872,1498,28/09/2018
1887,1506,29/09/2018
1903,1516,30/09/2018
1919,1545,01/10/2018
1937,1578,02/10/2018
1963,1594,03/10/2018
1989,1623,04/10/2018
2008,1640,05/10/2018
2010,1641,06/10/2018
2013,1641,07/10/2018
2037,1669,08/10/2018
2062,1689,09/10/2018
2101,1710,10/10/2018
2142,1734,11/10/2018
2173,1757,12/10/2018
2179,1759,13/10/2018
2188,1763,14/10/2018
2219,1798,15/10/2018
2254,1821,16/10/2018
2277,1835,17/10/2018
2309,1849,18/10/2018
2341,1862,19/10/2018
2343,1863,20/10/2018
2347,1867,21/10/2018
2376,1892,22/10/2018
2399,1931,23/10/2018
2431,1960,24/10/2018
2462,1973,25/10/2018
2496,2009,26/10/2018
2499,2011,27/10/2018
2502,2011,28/10/2018
2534,2031,29/10/2018
2575,2060,30/10/2018
2632,2113,31/10/2018
